priority_rank,tier,tier_label,origin,destination,city_pair,passengers,national_weight,cumulative_coverage,currently_covered,recommended,geographic_reason,source
1,1,TIER 1 - Essential,BENGALURU,DELHI,BENGALURU <-> DELHI,2449074.0,0.01455557712774697,0.01455557712774697,True,True,core metro trunk route,DGCA_DERIVED_ROUTE_PRIORITY
2,1,TIER 1 - Essential,DELHI,BENGALURU,DELHI <-> BENGALURU,2429999.0,0.014442208714333665,0.028997785842080633,False,True,core metro trunk route,DGCA_DERIVED_ROUTE_PRIORITY
3,1,TIER 1 - Essential,DELHI,MUMBAI,DELHI <-> MUMBAI,1891413.0,0.011241231502977565,0.0402390173450582,True,True,core metro trunk route,DGCA_DERIVED_ROUTE_PRIORITY
4,1,TIER 1 - Essential,MUMBAI,DELHI,MUMBAI <-> DELHI,1860005.0,0.011054564392703121,0.05129358173776132,True,True,core metro trunk route,DGCA_DERIVED_ROUTE_PRIORITY
5,1,TIER 1 - Essential,HYDERABAD,DELHI,HYDERABAD <-> DELHI,1550490.0,0.009215024446301092,0.06050860618406241,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
6,1,TIER 1 - Essential,DELHI,HYDERABAD,DELHI <-> HYDERABAD,1545290.0,0.009184119295593401,0.06969272547965581,True,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
7,1,TIER 1 - Essential,DELHI,KOLKATA,DELHI <-> KOLKATA,1454237.0,0.008642964163403544,0.07833568964305936,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
8,1,TIER 1 - Essential,DELHI,PUNE,DELHI <-> PUNE,1434645.0,0.00852652306481411,0.08686221270787346,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
9,1,TIER 1 - Essential,PUNE,DELHI,PUNE <-> DELHI,1429688.0,0.008497062135572183,0.09535927484344564,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
10,1,TIER 1 - Essential,KOLKATA,DELHI,KOLKATA <-> DELHI,1412124.0,0.008392674045758748,0.10375194888920439,True,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
11,1,TIER 1 - Essential,MUMBAI (MUMBAI),DELHI,MUMBAI (MUMBAI) <-> DELHI,1381730.0,0.008212033439872302,0.11196398232907669,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
12,1,TIER 1 - Essential,DELHI,MUMBAI (MUMBAI),DELHI <-> MUMBAI (MUMBAI),1340248.0,0.007965493543399921,0.11992947587247661,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
13,1,TIER 1 - Essential,DELHI,AHMEDABAD,DELHI <-> AHMEDABAD,1200490.0,0.007134870071745059,0.12706434594422167,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
14,1,TIER 1 - Essential,AHMEDABAD,DELHI,AHMEDABAD <-> DELHI,1170859.0,0.006958764202395146,0.1340231101466168,False,True,high-traffic route,DGCA_DERIVED_ROUTE_PRIORITY
