observation_id,timestamp,source,airline,origin,destination,flight_date,booking_date,fare_class,fare_type,base_fare,taxes,fees,total_fare,currency,stops,duration,baggage,availability
OBS000001,2026-01-12T00:00:00,mmt,SpiceJet,BLR,DEL,2026-01-14,2026-01-12,PremiumEconomy,NonRefundable,6777.55,813.31,367.33,7958.19,INR,0,1.91,20kg,True
OBS000002,2025-12-24T00:00:00,cleartrip,Akasa,BLR,DEL,2026-01-03,2025-12-24,PremiumEconomy,Refundable,6617.59,794.11,174.18,7585.88,INR,1,2.97,20kg,True
OBS000003,2026-01-13T00:00:00,mmt,IndiGo,BLR,DEL,2026-01-18,2026-01-13,Economy,Refundable,7314.13,877.7,365.43,8557.26,INR,0,4.45,15kg,True
OBS000004,2026-01-08T00:00:00,cleartrip,AirIndia,BLR,DEL,2026-01-13,2026-01-08,PremiumEconomy,NonRefundable,6267.74,752.13,263.35,7283.22,INR,0,3.41,25kg,True
OBS000005,2025-12-11T00:00:00,goibibo,Vistara,BLR,DEL,2026-01-20,2025-12-11,Economy,NonRefundable,6495.18,779.42,190.85,7465.45,INR,0,1.96,15kg,True
OBS000006,2026-01-08T00:00:00,cleartrip,AirIndia,BLR,DEL,2026-01-13,2026-01-08,PremiumEconomy,NonRefundable,7735.05,928.21,166.55,8829.81,INR,1,1.67,15kg,True
OBS000007,2026-01-04T00:00:00,goibibo,Vistara,BLR,DEL,2026-01-24,2026-01-04,Economy,Refundable,5331.61,639.79,257.11,6228.51,INR,1,1.5,15kg,True
OBS000008,2025-11-26T00:00:00,goibibo,Akasa,BLR,DEL,2026-01-05,2025-11-26,Economy,NonRefundable,5922.22,710.67,190.0,6822.89,INR,1,3.17,20kg,True
OBS000009,2025-11-09T00:00:00,cleartrip,Vistara,BLR,DEL,2026-01-18,2025-11-09,Economy,NonRefundable,6810.43,817.25,178.64,7806.32,INR,1,1.72,15kg,True
OBS000010,2025-11-08T00:00:00,airline_site,Vistara,BLR,DEL,2026-01-17,2025-11-08,Economy,Refundable,5857.39,702.89,194.66,6754.94,INR,0,3.72,25kg,True
OBS000011,2026-01-15T00:00:00,cleartrip,AirIndia,BLR,DEL,2026-01-20,2026-01-15,Economy,Refundable,6675.12,801.01,240.75,7716.88,INR,0,1.48,20kg,True
OBS000012,2026-01-05T00:00:00,mmt,SpiceJet,BLR,DEL,2026-01-25,2026-01-05,Economy,NonRefundable,6136.06,736.33,341.46,7213.85,INR,1,4.38,25kg,True
OBS000013,2026-01-18T00:00:00,goibibo,IndiGo,BLR,DEL,2026-01-23,2026-01-18,Economy,Refundable,6277.29,753.28,243.36,7273.93,INR,0,2.32,25kg,True
OBS000014,2026-01-17T00:00:00,airline_site,AirIndia,BLR,DEL,2026-01-19,2026-01-17,Economy,Refundable,7731.57,927.79,151.8,8811.16,INR,0,1.43,15kg,True
OBS000015,2026-01-12T00:00:00,goibibo,AirIndia,BLR,DEL,2026-01-22,2026-01-12,PremiumEconomy,NonRefundable,6547.74,785.73,383.88,7717.35,INR,0,1.51,25kg,False
OBS000016,2026-01-02T00:00:00,airline_site,IndiGo,BLR,DEL,2026-01-12,2026-01-02,Economy,NonRefundable,6755.64,810.68,252.78,7819.1,INR,0,3.84,15kg,True
OBS000017,2026-01-05T00:00:00,goibibo,AirIndia,BLR,DEL,2026-01-07,2026-01-05,Economy,NonRefundable,6911.16,829.34,195.87,7936.37,INR,0,1.37,25kg,True
OBS000018,2025-10-25T00:00:00,mmt,SpiceJet,BLR,DEL,2026-01-03,2025-10-25,PremiumEconomy,NonRefundable,6058.19,726.98,362.17,7147.34,INR,0,4.05,15kg,True
OBS000019,2026-01-12T00:00:00,goibibo,Vistara,BLR,DEL,2026-01-13,2026-01-12,PremiumEconomy,NonRefundable,7769.49,932.34,346.02,9047.85,INR,0,1.83,15kg,True
OBS000020,2025-12-10T00:00:00,cleartrip,IndiGo,BLR,DEL,2026-01-19,2025-12-10,Economy,NonRefundable,6083.58,730.03,285.55,7099.16,INR,0,1.39,25kg,True
OBS000021,2026-01-26T00:00:00,goibibo,IndiGo,BLR,DEL,2026-01-28,2026-01-26,Economy,Refundable,7417.36,890.08,365.45,8672.89,INR,0,2.58,25kg,True
OBS000022,2026-01-07T00:00:00,cleartrip,AirIndia,BLR,DEL,2026-01-09,2026-01-07,PremiumEconomy,NonRefundable,7310.87,877.3,317.43,8505.6,INR,0,3.42,20kg,False
OBS000023,2025-11-02T00:00:00,airline_site,IndiGo,BLR,DEL,2026-01-11,2025-11-02,Economy,NonRefundable,6180.59,741.67,305.29,7227.55,INR,0,4.28,15kg,True
OBS000024,2026-01-07T00:00:00,cleartrip,Akasa,BLR,DEL,2026-01-12,2026-01-07,Economy,NonRefundable,6915.2,829.82,189.44,7934.46,INR,0,4.3,15kg,True
OBS000025,2026-01-03T00:00:00,mmt,Vistara,BLR,DEL,2026-01-04,2026-01-03,Economy,NonRefundable,7296.01,875.52,220.44,8391.97,INR,1,2.03,15kg,True
OBS000026,2026-01-11T00:00:00,airline_site,IndiGo,BLR,DEL,2026-01-21,2026-01-11,PremiumEconomy,Refundable,6184.86,742.18,357.34,7284.38,INR,0,1.73,20kg,False
OBS000027,2026-01-17T00:00:00,mmt,Akasa,BLR,DEL,2026-01-18,2026-01-17,Economy,NonRefundable,8387.31,1006.48,322.75,9716.54,INR,0,2.62,15kg,True
OBS000028,2025-11-03T00:00:00,airline_site,Vistara,BLR,DEL,2026-01-12,2025-11-03,Economy,Refundable,6881.29,825.76,393.05,8100.1,INR,0,2.37,25kg,False
OBS000029,2025-12-11T00:00:00,mmt,SpiceJet,BLR,DEL,2026-01-20,2025-12-11,Economy,Refundable,6755.97,810.72,366.15,7932.84,INR,0,3.78,20kg,True
OBS000030,2026-01-07T00:00:00,airline_site,SpiceJet,BLR,DEL,2026-01-09,2026-01-07,Economy,NonRefundable,8319.75,998.37,346.84,9664.96,INR,0,1.86,20kg,True
OBS000031,2025-11-01T00:00:00,mmt,SpiceJet,BLR,DEL,2026-01-10,2025-11-01,PremiumEconomy,NonRefundable,6217.88,746.15,155.92,7119.95,INR,0,4.39,20kg,True
OBS000032,2026-01-01T00:00:00,cleartrip,IndiGo,BLR,DEL,2026-01-21,2026-01-01,Economy,NonRefundable,5781.38,693.77,249.92,6725.07,INR,0,3.12,20kg,True
OBS000033,2025-12-15T00:00:00,airline_site,SpiceJet,BLR,DEL,2026-01-04,2025-12-15,Economy,NonRefundable,5394.35,647.32,228.42,6270.09,INR,0,3.54,15kg,True
OBS000034,2026-01-02T00:00:00,cleartrip,Akasa,BLR,DEL,2026-01-12,2026-01-02,PremiumEconomy,Refundable,6821.04,818.52,167.49,7807.05,INR,0,2.87,25kg,False
OBS000035,2026-01-01T00:00:00,goibibo,AirIndia,BLR,DEL,2026-01-11,2026-01-01,PremiumEconomy,NonRefundable,6271.28,752.55,197.96,7221.79,INR,0,2.2,15kg,False
OBS000036,2026-01-06T00:00:00,cleartrip,SpiceJet,BLR,DEL,2026-01-26,2026-01-06,PremiumEconomy,NonRefundable,5530.5,663.66,301.67,6495.83,INR,0,2.89,25kg,True
OBS000037,2026-01-21T00:00:00,airline_site,AirIndia,BLR,DEL,2026-01-22,2026-01-21,PremiumEconomy,Refundable,7130.21,855.63,304.82,8290.66,INR,0,1.69,15kg,True
OBS000038,2025-11-11T00:00:00,goibibo,SpiceJet,DEL,BOM,2026-01-20,2025-11-11,Economy,NonRefundable,4412.83,529.54,342.12,5284.49,INR,1,2.52,15kg,True
OBS000039,2025-11-16T00:00:00,mmt,Akasa,DEL,BOM,2026-01-25,2025-11-16,PremiumEconomy,Refundable,3974.88,476.99,256.29,4708.16,INR,0,4.23,15kg,False
OBS000040,2025-10-27T00:00:00,cleartrip,SpiceJet,DEL,BOM,2026-01-05,2025-10-27,PremiumEconomy,NonRefundable,3806.93,456.83,266.16,4529.92,INR,0,3.65,20kg,False
OBS000041,2025-10-31T00:00:00,goibibo,AirIndia,DEL,BOM,2026-01-09,2025-10-31,PremiumEconomy,NonRefundable,3963.82,475.66,341.45,4780.93,INR,0,3.55,15kg,True
OBS000042,2026-01-06T00:00:00,airline_site,AirIndia,DEL,BOM,2026-01-11,2026-01-06,Economy,Refundable,5001.82,600.22,373.26,5975.3,INR,1,3.49,25kg,True
OBS000043,2025-12-24T00:00:00,mmt,SpiceJet,DEL,BOM,2026-01-03,2025-12-24,PremiumEconomy,Refundable,3842.51,461.1,253.94,4557.55,INR,1,2.77,20kg,True
OBS000044,2026-01-15T00:00:00,goibibo,Akasa,DEL,BOM,2026-01-25,2026-01-15,Economy,NonRefundable,4423.51,530.82,363.36,5317.69,INR,0,2.1,20kg,True
OBS000045,2026-01-08T00:00:00,goibibo,AirIndia,DEL,BOM,2026-01-13,2026-01-08,Economy,NonRefundable,4176.51,501.18,331.05,5008.74,INR,0,1.48,20kg,True
OBS000046,2026-01-18T00:00:00,cleartrip,SpiceJet,DEL,BOM,2026-01-28,2026-01-18,PremiumEconomy,Refundable,3669.51,440.34,195.43,4305.28,INR,1,2.28,20kg,True
OBS000047,2025-11-16T00:00:00,airline_site,Vistara,DEL,BOM,2026-01-25,2025-11-16,Economy,Refundable,3426.79,411.21,267.58,4105.58,INR,0,3.69,15kg,True
OBS000048,2026-01-26T00:00:00,mmt,AirIndia,DEL,BOM,2026-01-27,2026-01-26,PremiumEconomy,Refundable,5067.03,608.04,305.33,5980.4,INR,0,2.73,20kg,True
OBS000049,2025-12-17T00:00:00,mmt,Vistara,DEL,BOM,2026-01-06,2025-12-17,Economy,Refundable,3545.44,425.45,178.63,4149.52,INR,0,3.1,20kg,False
OBS000050,2026-01-21T00:00:00,mmt,IndiGo,DEL,BOM,2026-01-23,2026-01-21,PremiumEconomy,Refundable,4281.21,513.75,169.0,4963.96,INR,0,2.35,20kg,True
OBS000051,2025-12-14T00:00:00,goibibo,IndiGo,DEL,BOM,2026-01-03,2025-12-14,PremiumEconomy,NonRefundable,3925.69,471.08,255.01,4651.78,INR,1,3.53,20kg,True
OBS000052,2026-01-04T00:00:00,cleartrip,Akasa,DEL,BOM,2026-01-24,2026-01-04,PremiumEconomy,NonRefundable,3915.6,469.87,391.37,4776.84,INR,1,3.92,25kg,True
OBS000053,2025-11-02T00:00:00,goibibo,AirIndia,DEL,BOM,2026-01-11,2025-11-02,PremiumEconomy,NonRefundable,3976.92,477.23,219.73,4673.88,INR,0,1.29,20kg,True
OBS000054,2026-01-14T00:00:00,cleartrip,Vistara,DEL,BOM,2026-01-16,2026-01-14,PremiumEconomy,NonRefundable,5539.96,664.8,238.71,6443.47,INR,0,2.9,15kg,True
OBS000055,2025-11-29T00:00:00,goibibo,SpiceJet,DEL,BOM,2026-01-08,2025-11-29,PremiumEconomy,Refundable,3620.81,434.5,210.08,4265.39,INR,0,2.17,20kg,True
OBS000056,2025-12-01T00:00:00,goibibo,Akasa,DEL,BOM,2026-01-10,2025-12-01,PremiumEconomy,NonRefundable,4179.43,501.53,295.39,4976.35,INR,0,2.36,20kg,True
OBS000057,2026-01-05T00:00:00,mmt,AirIndia,DEL,BOM,2026-01-10,2026-01-05,Economy,NonRefundable,4560.1,547.21,228.89,5336.2,INR,0,3.59,25kg,True
OBS000058,2025-10-26T00:00:00,mmt,Vistara,DEL,BOM,2026-01-04,2025-10-26,Economy,NonRefundable,4458.11,534.97,198.53,5191.61,INR,0,3.54,15kg,True
OBS000059,2026-01-01T00:00:00,goibibo,IndiGo,DEL,BOM,2026-01-02,2026-01-01,Economy,NonRefundable,4175.21,501.02,181.57,4857.8,INR,1,2.78,20kg,True
OBS000060,2025-12-28T00:00:00,goibibo,IndiGo,DEL,BOM,2026-01-02,2025-12-28,Economy,NonRefundable,4307.32,516.88,385.27,5209.47,INR,1,1.44,25kg,True
OBS000061,2026-01-03T00:00:00,mmt,IndiGo,DEL,BOM,2026-01-05,2026-01-03,PremiumEconomy,Refundable,5009.68,601.16,171.3,5782.14,INR,1,2.69,20kg,True
OBS000062,2026-01-08T00:00:00,cleartrip,Akasa,DEL,BOM,2026-01-28,2026-01-08,Economy,Refundable,3239.88,388.79,397.51,4026.18,INR,0,3.26,20kg,True
OBS000063,2026-01-04T00:00:00,goibibo,Akasa,DEL,BOM,2026-01-06,2026-01-04,PremiumEconomy,NonRefundable,4736.04,568.32,150.67,5455.03,INR,0,1.96,25kg,True
OBS000064,2025-11-14T00:00:00,mmt,Vistara,DEL,BOM,2026-01-23,2025-11-14,Economy,NonRefundable,4066.97,488.04,263.51,4818.52,INR,0,3.0,25kg,True
OBS000065,2025-10-31T00:00:00,cleartrip,SpiceJet,DEL,BOM,2026-01-09,2025-10-31,Economy,NonRefundable,4025.54,483.06,348.16,4856.76,INR,0,3.51,20kg,False
OBS000066,2026-01-14T00:00:00,goibibo,Vistara,DEL,BOM,2026-01-15,2026-01-14,PremiumEconomy,Refundable,4830.79,579.69,299.51,5709.99,INR,0,1.96,25kg,True
OBS000067,2025-12-16T00:00:00,mmt,SpiceJet,DEL,BOM,2026-01-25,2025-12-16,PremiumEconomy,NonRefundable,4135.92,496.31,340.78,4973.01,INR,0,4.49,20kg,False
OBS000068,2025-12-24T00:00:00,cleartrip,Vistara,DEL,BOM,2026-01-03,2025-12-24,Economy,Refundable,3797.28,455.67,236.99,4489.94,INR,0,2.56,20kg,True
OBS000069,2026-01-12T00:00:00,cleartrip,Vistara,DEL,BOM,2026-01-22,2026-01-12,PremiumEconomy,Refundable,4358.24,522.99,263.71,5144.94,INR,1,4.05,15kg,False
OBS000070,2026-01-13T00:00:00,cleartrip,Akasa,DEL,BOM,2026-01-14,2026-01-13,PremiumEconomy,NonRefundable,4287.04,514.44,196.9,4998.38,INR,0,1.87,25kg,True
OBS000071,2025-12-31T00:00:00,mmt,AirIndia,DEL,BOM,2026-01-10,2025-12-31,PremiumEconomy,Refundable,4476.37,537.16,157.22,5170.75,INR,1,1.51,15kg,False
OBS000072,2025-11-25T00:00:00,goibibo,Vistara,DEL,BOM,2026-01-04,2025-11-25,PremiumEconomy,NonRefundable,3707.94,444.95,358.04,4510.93,INR,1,4.43,15kg,False
OBS000073,2025-12-26T00:00:00,mmt,IndiGo,BOM,BLR,2026-01-05,2025-12-26,PremiumEconomy,NonRefundable,3968.73,476.25,336.57,4781.55,INR,0,4.28,25kg,True
OBS000074,2026-01-26T00:00:00,cleartrip,Akasa,BOM,BLR,2026-01-27,2026-01-26,PremiumEconomy,Refundable,4738.1,568.57,220.71,5527.38,INR,1,2.98,20kg,True
OBS000075,2025-11-09T00:00:00,mmt,AirIndia,BOM,BLR,2026-01-18,2025-11-09,PremiumEconomy,Refundable,3296.1,395.53,230.44,3922.07,INR,1,1.34,25kg,False
OBS000076,2025-11-14T00:00:00,mmt,SpiceJet,BOM,BLR,2026-01-23,2025-11-14,Economy,Refundable,3516.39,421.97,245.31,4183.67,INR,0,4.07,20kg,True
OBS000077,2026-01-07T00:00:00,mmt,IndiGo,BOM,BLR,2026-01-17,2026-01-07,PremiumEconomy,NonRefundable,3987.76,478.53,367.73,4834.02,INR,0,3.26,20kg,True
OBS000078,2026-01-23T00:00:00,goibibo,Vistara,BOM,BLR,2026-01-28,2026-01-23,PremiumEconomy,Refundable,4105.84,492.7,363.09,4961.63,INR,0,1.97,25kg,True
OBS000079,2025-11-29T00:00:00,airline_site,SpiceJet,BOM,BLR,2026-01-08,2025-11-29,Economy,NonRefundable,4274.55,512.95,340.09,5127.59,INR,0,1.35,15kg,True
OBS000080,2026-01-07T00:00:00,mmt,Akasa,BOM,BLR,2026-01-12,2026-01-07,PremiumEconomy,Refundable,4575.26,549.03,257.67,5381.96,INR,0,1.78,25kg,False
OBS000081,2025-12-11T00:00:00,goibibo,Vistara,BOM,BLR,2026-01-20,2025-12-11,PremiumEconomy,NonRefundable,3638.66,436.64,185.78,4261.08,INR,0,4.17,20kg,True
OBS000082,2026-01-02T00:00:00,goibibo,Vistara,BOM,BLR,2026-01-22,2026-01-02,PremiumEconomy,NonRefundable,4237.49,508.5,189.49,4935.48,INR,0,2.71,20kg,True
OBS000083,2025-11-04T00:00:00,cleartrip,Vistara,BOM,BLR,2026-01-13,2025-11-04,Economy,NonRefundable,3391.13,406.94,292.98,4091.05,INR,0,1.23,25kg,True
OBS000084,2025-12-11T00:00:00,cleartrip,AirIndia,BOM,BLR,2026-01-20,2025-12-11,PremiumEconomy,Refundable,3624.33,434.92,274.18,4333.43,INR,0,3.25,25kg,True
OBS000085,2026-01-20T00:00:00,goibibo,IndiGo,BOM,BLR,2026-01-21,2026-01-20,PremiumEconomy,Refundable,4712.21,565.47,227.23,5504.91,INR,0,4.2,20kg,False
OBS000086,2026-01-04T00:00:00,cleartrip,Akasa,BOM,BLR,2026-01-06,2026-01-04,PremiumEconomy,Refundable,3970.74,476.49,183.04,4630.27,INR,0,4.22,20kg,True
OBS000087,2025-11-15T00:00:00,mmt,AirIndia,BOM,BLR,2026-01-24,2025-11-15,PremiumEconomy,NonRefundable,3526.59,423.19,390.72,4340.5,INR,0,3.81,15kg,True
OBS000088,2026-01-17T00:00:00,cleartrip,Akasa,BOM,BLR,2026-01-18,2026-01-17,PremiumEconomy,NonRefundable,4448.95,533.87,263.7,5246.52,INR,0,3.43,20kg,True
OBS000089,2025-12-31T00:00:00,goibibo,Vistara,BOM,BLR,2026-01-20,2025-12-31,PremiumEconomy,Refundable,3415.83,409.9,311.91,4137.64,INR,0,1.35,15kg,True
